date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:09:03	175702/175702	---MCZ	200	added ('OK')	text/html	date:Sun,%2015%20Dec%202024%2015:09:03%20GMT	https://mamiguide.com/award/	D:/baby1/baby/mamiguide.com/award/index.html	(from )
23:09:03	221/221	---M-Z	200	added ('OK')	text/plain	date:Sun,%2015%20Dec%202024%2015:09:03%20GMT	https://mamiguide.com/robots.txt		(from )
23:09:05	5842/5842	---MC-	200	added ('OK')	text/html	date:Sun,%2015%20Dec%202024%2015:09:04%20GMT	https://gmpg.org/xfn/11	D:/baby1/baby/gmpg.org/xfn/11.html	(from https://mamiguide.com/award/)
23:09:05	184/184	---M-Z	200	added ('OK')	text/css	etag:%22b8-6274f0f061754-gzip%22	https://mamiguide.com/wp-content/plugins/quick-adsense-reloaded/includes/gutenberg/dist/blocks.style.build.css?ver=2.0.86.1	D:/baby1/baby/mamiguide.com/wp-content/plugins/quick-adsense-reloaded/includes/gutenberg/dist/blocks.style.builda3b1.css	(from https://mamiguide.com/award/)
23:09:05	32892/32892	---M-Z	200	added ('OK')	text/css	etag:%22807c-62894c25889a3-gzip%22	https://mamiguide.com/wp-content/plugins/chaty/css/chaty-front.min.css?ver=3.3.31726211816	D:/baby1/baby/mamiguide.com/wp-content/plugins/chaty/css/chaty-front.min23e6.css	(from https://mamiguide.com/award/)
23:09:05	2894/2894	---M-Z	200	added ('OK')	text/css	etag:%22b4e-62894c2b8db9f-gzip%22	https://mamiguide.com/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=6.0.1	D:/baby1/baby/mamiguide.com/wp-content/plugins/contact-form-7/includes/css/styles37ad.css	(from https://mamiguide.com/award/)
23:09:05	5375/5375	---M-Z	200	added ('OK')	text/css	etag:%2214ff-5fdb1a6e7d712-gzip%22	https://mamiguide.com/wp-content/plugins/deposits-partial-payments-for-woocommerce-pro/assets/css/frontend.css?ver=3.1.3	D:/baby1/baby/mamiguide.com/wp-content/plugins/deposits-partial-payments-for-woocommerce-pro/assets/css/frontend583f.css	(from https://mamiguide.com/award/)
23:09:06	3474/3474	---M-Z	200	added ('OK')	text/css	etag:%22d92-5ec3597290a92-gzip%22	https://mamiguide.com/wp-content/plugins/listeo-core/assets/css/frontend.css?ver=1.7.20	D:/baby1/baby/mamiguide.com/wp-content/plugins/listeo-core/assets/css/frontend727b.css	(from https://mamiguide.com/award/)
23:09:06	41813/41813	---M-Z	200	added ('OK')	text/html	date:Sun,%2015%20Dec%202024%2015:09:06%20GMT	http://www.google.com/	D:/baby1/baby/www.google.com/index.html	(from https://mamiguide.com/award/)
23:09:06	32002/32002	---M-Z	200	added ('OK')	text/css	etag:%227d02-5ec3597290a92-gzip%22	https://mamiguide.com/wp-content/plugins/listeo-core/assets/css/fullcalendar.min.css?ver=1.0	D:/baby1/baby/mamiguide.com/wp-content/plugins/listeo-core/assets/css/fullcalendar.min5152.css	(from https://mamiguide.com/award/)
23:09:06	15034/15034	---M-Z	200	added ('OK')	text/css	etag:%223aba-62894c40c9a7e-gzip%22	https://mamiguide.com/wp-content/plugins/tutor/assets/css/tutor-icon.min.css?ver=3.0.2	D:/baby1/baby/mamiguide.com/wp-content/plugins/tutor/assets/css/tutor-icon.min5b75.css	(from https://mamiguide.com/award/)
